id,Longitude,Latitude,vs30,vs30measured,rotD50_logPGA,geoM_logPGA,rotD50_logSAT0_200,geoM_logSAT0_200,rotD50_logSAT0_300,geoM_logSAT0_300,rotD50_logSAT0_600,geoM_logSAT0_600
42,14.983749,41.710827,464.64,False,-5.687853025914559,-5.614836291307239,-5.49642050164823,-5.403019510077454,-4.93529777993801,-4.907042346916472,-4.827199469372648,-4.83933265978187
43,15.164646,41.807213,572.29,False,-5.303217187273405,-5.43756070593862,-4.909595836719793,-4.940421318680067,-4.645033322239826,-4.578788615503903,-4.600338255930268,-4.667498391303572
44,15.5589,41.8426,800.0,True,-6.694305257756403,-6.6561640214261,-5.895858049055693,-5.975668352490105,-5.854711982913367,-5.9015916589983455,-5.863646008633942,-5.828294655419119
45,14.880167,41.625019,500.0,False,-5.664335801985735,-5.674743867741022,-5.590616165000848,-5.617014871550182,-5.150467494135025,-5.185262412358877,-4.746268264075177,-4.75959390397701
46,12.44929,43.934326,760.0,False,-6.192539335795858,-6.296039907614725,-6.172813471927332,-6.238157104380017,-6.03687290547184,-6.156571468316014,-5.744787541658547,-5.730107383769868
47,12.143375,43.56739,310.0,True,-5.668869148932979,-5.610316677741223,-5.369826061610695,-5.385497155516049,-5.155533878339413,-5.162599990612988,-4.532243199665104,-4.535680072297415
48,12.739693,42.743469,524.94,False,-4.98288062919222,-4.986349336955272,-3.9460325850278335,-4.031202005841208,-4.1322355974418485,-4.16273508119284,-4.319794407909144,-4.326884504220724
49,12.740602,42.733585,883.5,False,-4.880939525894878,-4.843272252713496,-4.098555739533909,-4.144988807738094,-3.9516396812348713,-3.9840591470245217,-3.81875239394251,-3.859498114509333
50,15.37362,41.691341,431.87,False,-5.402352581324955,-5.366835438124196,-5.013852566661336,-5.033454389604901,-4.819428486222963,-4.781350483388821,-4.88768497444662,-4.868943064326767
51,15.642169,40.541065,395.0,True,-6.944609926322421,-7.047778481294077,-6.8937010805417005,-7.001755337820779,-6.883749188196656,-6.93805480138856,-6.418564828570299,-6.339474761921588
52,15.11167,41.018353,597.86,False,-6.7412722071057285,-6.691528207960758,-6.659334874067489,-6.60097132718061,-6.306691775460307,-6.348326633054777,-5.9455971115498665,-5.934311383615631
53,13.934,42.089,604.298828125,False,-3.580417457181782,-3.481465679802007,-2.8943300706873845,-2.962494790558331,-2.6641956456323768,-2.680787954022997,-2.9661408324451903,-3.0246418318310826
54,14.529974,41.222237,401.0,False,-6.053895212552136,-6.042412492343801,-6.002251943769424,-6.007527210475966,-5.799916802045329,-5.735757377351115,-5.326995881946631,-5.311327048563646
55,14.975007,41.989445,439.63,False,-4.67219993588681,-4.673112055638116,-4.225604697474706,-4.152155512546799,-3.958977294722918,-3.899972774500289,-3.951515149058378,-4.085337118439002
56,16.165255,41.876976,760.0,False,-6.112559678450858,-6.129166027328982,-5.317674249682125,-5.356141524659297,-5.324367894371904,-5.207594435995755,-5.520063667088049,-5.477138181179209
57,14.131685,41.33321,340.0,False,-5.75518724739724,-5.700492796502341,-5.605269771152381,-5.5659182690047295,-5.4005518307215645,-5.38144547545174,-5.070890418552608,-5.153902506653085
58,12.2336,43.4584,277.0,True,-4.789280750415286,-4.893016347570952,-4.4740472026642895,-4.572974222464565,-4.257449741482655,-4.271745234582258,-3.785240919822023,-3.767555827901512
59,13.3352,43.0627,488.0,False,-3.985185320380409,-3.9498465941732577,-3.2364952472382336,-3.2365146714299846,-2.868291236535931,-2.8417037852160285,-3.080118736787873,-3.025053776425908
60,13.2331,43.7052,242.0,False,-4.280686696830246,-4.320819797631541,-3.447868765138657,-3.3706382801890995,-2.867439594339108,-2.87050407332688,-3.3790080487481795,-3.461605282199677
61,13.40193,42.35388,455.8628234863281,False,-1.3064802088089569,-1.2630100927828458,-1.2096599588872812,-1.2158848107297415,-0.8114797253595358,-0.9093927812734968,-0.5929589423021876,-0.6224921460021945
62,15.2518,45.5043,760.0,False,-6.666475636809497,-6.687311056673071,-6.319286853413831,-6.344321716934026,-6.232690323818169,-6.226881197574602,-6.050309986512357,-5.9920658970164045
63,14.5278,46.0438,760.0,False,-6.392040952050512,-6.520510405083455,-5.531105124528935,-5.591813487981507,-5.639330868970485,-5.639930417226786,-5.718643268160375,-5.726765929200008
