id,PRO_COM,Longitude,Latitude,vs30,BuildingClass,DamageState
183,66043,13.605438998868651,42.23011563351353,456.6353,A-L,3
184,66087,13.5693894,42.2925649884297,410.67407,A-L,3
185,66087,13.560056068201249,42.28461946786065,439.94473,A-L,4
186,66087,13.569124099999998,42.29248078842966,410.67407,A-L,5
187,66014,13.69858565213516,42.32610344062434,512.7188,A-MH,0
188,66097,13.67879866348838,42.15232390279708,513.3502,A-L,3
189,67034,13.551762999999996,42.52341199431525,477.56055,A-MH,4
190,66040,13.780293025337892,42.22135373342904,494.9261,B-L,5
191,66097,13.680862905200271,42.15251967782373,531.0775,A-L,0
192,66040,13.782256307470869,42.22182255187698,479.60413,A-L,5
193,66087,13.558266500000007,42.29200658842924,401.90292,A-L,1
194,66087,13.556601399999993,42.28840728842604,446.9307,A-MH,2
195,66027,13.738251278627432,42.11206263377564,443.91763,B-L,0
196,66087,13.555545516342674,42.290203091232286,480.22928,A-L,1
197,66014,13.695539,42.32625089422957,516.63245,A-L,4
198,67034,13.552473,42.52269288862993,470.28592,B-L,0
199,66087,13.560224653264711,42.2854271819632,391.37106,A-L,4
200,66097,13.680058008759769,42.15119277174762,538.62585,A-L,3
201,66027,13.739565999999998,42.11319559413607,443.46005,A-MH,0
202,66097,13.682122292306294,42.15337783025988,567.3804,B-MH,1
203,66087,13.560175199999994,42.284996388423046,421.2103,A-L,4
204,66087,13.553901565830351,42.28899536042754,439.54297,A-L,0
205,66027,13.740562100000009,42.112812988271706,442.22446,A-MH,0
206,66097,13.681306400776636,42.15187048991889,540.08685,A-L,4
207,66087,13.560162899999996,42.28487168842296,421.2103,B-MH,5
208,66087,13.555419464764984,42.29011712985194,480.22928,A-MH,4
209,66087,13.560284799999998,42.28557208842359,391.37106,A-MH,5
210,68005,13.827697999999994,42.210776988358006,426.46472,B-MH,2
211,66097,13.683551385546634,42.15305425293873,534.71155,C1-MH,1
212,66065,13.515905211466928,42.12035293947849,619.7765,A-MH,5
213,66024,13.68571424153516,42.29972266813631,503.9163,B-L,1
214,66087,13.569458000000004,42.292594988429656,410.67407,C1-MH,0
215,66087,13.553823294791837,42.28972138101887,463.11926,A-L,5
216,66097,13.67995945102691,42.14757944034052,489.63794,A-L,4
217,66097,13.676340236251672,42.151599950965874,550.93097,A-L,0
218,66087,13.554164278029887,42.28934772666073,441.81458,A-MH,3
219,66097,13.684257703369312,42.15275712281179,446.90033,A-L,4
220,66087,13.556927999999992,42.28837948842598,438.67175,A-MH,3
221,66087,13.556744500000006,42.28847118842607,438.67175,A-MH,4
222,66097,13.680501525562663,42.15253289741619,516.6124,A-L,0
223,66040,13.77996506508457,42.22190857519461,492.02136,A-MH,2
224,66087,13.558890700000005,42.28812048842582,460.66418,A-L,4
225,66087,13.55402230412704,42.28899110399944,439.54297,A-MH,4
226,66097,13.679329808908632,42.14913966707149,538.3143,A-MH,1
227,66087,13.564086119288932,42.289359076040405,407.4012,A-L,5
228,66087,13.560085000000004,42.284721994211424,421.2103,A-L,4
229,66087,13.5601734,42.28500689421153,421.2103,A-MH,3
230,67034,13.553915772982444,42.52330583702273,471.20813,B-MH,1
231,66097,13.680424856688772,42.1512697767575,539.04407,A-L,1
232,66097,13.67649898750928,42.15222711173817,560.2756,A-L,1
233,66087,13.554881399999998,42.29000448842741,480.28635,A-L,4
234,66087,13.553246134068914,42.29019375378718,464.25418,A-L,4
235,66087,13.555655634364394,42.290018393552685,486.4294,A-MH,4
236,67034,13.552235,42.522249988629525,475.857,A-MH,1
237,66087,13.553644164855838,42.28873321904195,439.54297,A-L,0
238,66097,13.683129828157746,42.15406434017228,536.79785,C1-L,1
239,66087,13.56018211466025,42.28470542390621,439.94473,A-L,5
240,66097,13.680392039551371,42.15470705624474,577.391,A-L,4
241,66065,13.516427560627376,42.13561537081434,486.3505,A-L,0
242,66087,13.559961299999992,42.28457438842268,439.94473,A-L,4
243,66065,13.51604652548384,42.12070967502335,621.8121,B-L,4
244,66073,13.5381837,42.31982878845355,448.89438,B-MH,0
245,66087,13.553928108614013,42.28944645952441,441.81458,B-L,0
246,66097,13.680632938862892,42.15270893669708,516.6124,A-L,5
247,66087,13.553780827518514,42.28899961671112,439.54297,A-L,1
248,66097,13.682220837074215,42.15301253120406,556.33453,A-MH,4
249,66097,13.679773305409364,42.14650116566602,514.0223,A-L,4
250,66097,13.682751902182662,42.15181759230271,516.41565,A-L,4
251,66087,13.560066702321771,42.28479990745159,421.2103,A-L,5
252,66043,13.605417492828693,42.22975474802973,511.65613,A-MH,4
253,66042,13.580527899999993,42.26880298840893,470.7884,A-MH,4
254,66087,13.559160873532376,42.28790575115949,473.64297,A-L,5
255,66097,13.68006348440737,42.1512829947335,538.62585,A-L,1
256,66087,13.558453600000009,42.28863638842627,464.68967,A-L,4
257,66087,13.560286499999991,42.285543888423554,391.37106,B-L,0
258,66072,13.294939999999997,42.43539299427709,454.64133,A-L,0
259,66043,13.60517625789433,42.229763382436495,491.92752,A-MH,1
260,66087,13.56901881922082,42.29298167821116,410.67407,A-L,4
261,66014,13.698574591580874,42.32592302590437,504.67365,A-MH,0
262,66087,13.55324082637622,42.29010353400087,464.25418,A-L,4
263,66087,13.569297099999996,42.29253138842964,410.67407,A-L,4
264,66065,13.51462625363431,42.13576873622334,550.1218,A-MH,3
265,66072,13.299357,42.43455999427674,454.4587,A-MH,1
266,66087,13.554048847808936,42.28944220305944,441.81458,A-L,4
267,66043,13.605559617029426,42.23011131606376,456.6353,C1-L,0
268,66097,13.682724599535735,42.153355787138175,554.8781,B-L,1
269,66049,13.400109900000004,42.35310798848258,455.32126,A-MH,2
270,66097,13.68273007948208,42.15344600976801,554.8781,A-MH,4
271,66087,13.553681321938477,42.28936475220232,441.81458,A-L,5
272,66043,13.605669481395015,42.229926555773176,456.6353,A-MH,3
273,66087,13.560187431910837,42.28479564369044,421.2103,B-L,4
274,66087,13.5549191,42.2899727884274,480.28635,A-L,4
275,66087,13.545312487619196,42.25602766765879,495.6857,A-L,5
276,66049,13.3927132,42.35477098848402,531.3972,A-MH,5
277,66097,13.680671276475389,42.15334049628647,535.91864,A-MH,1
278,66043,13.605664104537553,42.22983633441331,511.65613,A-L,2
279,66087,13.554274398802107,42.28916303032734,455.94196,A-L,4
280,66087,13.554920999999997,42.28995948842744,480.28635,A-L,3
281,66049,13.469482766366903,42.35476446728001,427.87433,A-L,3
282,66087,13.554279707897782,42.2892532501246,455.94196,A-L,4
283,66065,13.517380581461296,42.13540121835255,445.85773,A-L,5
284,66097,13.67996492597272,42.147669663632726,489.63794,A-L,4
285,66087,13.556405193607151,42.28836462685125,446.9307,A-L,3
286,66097,13.677818504847265,42.15407777192166,563.28955,A-L,5
287,66087,13.537110900000007,42.29492148843176,424.12012,A-MH,4
288,66097,13.680802659117484,42.15152722625826,540.08685,A-L,1
289,66087,13.537063023417616,42.29483110441193,424.12646,A-L,1
290,66087,13.558809297294614,42.28809897185263,460.66418,A-MH,3
291,66043,13.612607700000003,42.23740708838131,409.64224,A-MH,3
292,66087,13.564736399999996,42.29160448842886,410.67407,A-L,0
293,66042,13.5840059,42.26085399420095,480.4734,A-MH,0
294,66097,13.67992112520464,42.15092650841628,544.2889,A-L,1
295,66065,13.514968096362267,42.1208377877672,584.85266,A-MH,1
296,66097,13.683184522617536,42.15297725957088,535.9723,A-L,4
297,66087,13.553366874791994,42.29018949813015,464.25418,A-MH,4
298,66097,13.680698631167468,42.15180230157522,532.8034,A-L,2
299,66073,13.536415000000002,42.32091798845449,453.91974,B-MH,0
300,66087,13.5511814,42.29167208842892,443.99478,A-L,4
301,66087,13.560737099999994,42.29364608843071,410.67407,A-MH,1
302,66087,13.553807369403929,42.28945071584498,441.81458,A-L,3
303,66027,13.743483,42.11609698827463,443.8697,B-L,1
304,66097,13.682823140655762,42.15299048751408,535.9723,B-L,0
305,66065,13.51381978488479,42.136429831023456,538.502,B-L,0
306,66087,13.558924717666011,42.28800448996496,460.66418,A-L,0
307,66014,13.698344043685664,42.326112300335055,513.7968,A-MH,0
308,66097,13.681421381547874,42.151775859729526,556.01154,A-MH,4
309,66040,13.781133736952963,42.2193328857832,519.14996,B-L,1
310,67034,13.552117,42.52253298862979,470.28592,B-MH,1
311,66052,13.334092000000007,42.30825798844344,510.9541,A-MH,3
312,66087,13.5549195,42.28997008842744,480.28635,A-L,5
313,66027,13.7420465,42.11503408827369,442.7606,B-MH,1
314,66101,13.299775000000002,42.29594698843259,462.14008,B-L,0
315,66087,13.55966508459152,42.28824957762904,473.64297,A-L,5
316,66087,13.558368199999997,42.28941998842694,459.1994,A-MH,3
317,66027,13.74478148649533,42.1142612494703,440.4463,C1-L,1
318,66087,13.556520618191223,42.28827014770636,446.9307,B-L,5
319,66040,13.782070239219138,42.2188456082295,516.22064,A-L,5
320,66052,13.333981799999997,42.30845488844361,510.9541,A-MH,2
321,66027,13.7411700662254,42.114395668108216,442.0248,B-L,0
322,66097,13.682757381933056,42.15190781505834,516.41565,A-MH,4
323,66087,13.559818099999998,42.291608688428845,395.23267,A-L,0
324,66049,13.399509099999994,42.34984788847969,455.06046,A-L,4
325,66043,13.612744199999998,42.23741078838133,409.64224,B-MH,0
326,66087,13.55939760000001,42.29096308842824,446.15762,A-MH,1
327,66097,13.680167514437864,42.15100791992721,544.2889,A-L,1
328,66014,13.69869539542218,42.32591859584755,504.67365,A-MH,0
329,66087,13.55337218268573,42.29027971790135,464.25418,A-L,4
330,66097,13.679915649823547,42.1508362853914,544.2889,A-L,1
331,66097,13.678940993295445,42.15466969760662,566.6675,A-L,1
332,66087,13.553361566919657,42.29009927835119,464.25418,A-L,4
333,66087,13.554143042408576,42.28898684742677,439.54297,A-L,1
334,66052,13.333053,42.3091629942221,525.1021,B-L,2
335,66042,13.58379740176676,42.26063336958142,469.37775,A-L,0
336,66087,13.554269089727828,42.28907281052237,444.2896,A-MH,4
337,66027,13.744418283983666,42.11228533425496,440.89334,B-L,1
338,66014,13.698470378049024,42.32619807790796,512.7188,A-MH,0
339,66095,13.280382528970566,42.35376699471886,431.50443,A-L,4
340,67034,13.541803000000003,42.53487499432024,480.49768,C1-L,0
341,66087,13.559050769754682,42.28809044712153,460.66418,A-L,5
342,66040,13.7815553089809,42.222210564024806,486.3914,A-L,4
343,66097,13.68492015008086,42.151738206971935,499.43112,A-MH,3
344,66087,13.554285017014845,42.28934346991412,455.94196,A-MH,4
345,66097,13.67774182298896,42.15480395797065,549.9265,A-L,4
346,66027,13.743202000000004,42.116011988274586,444.3626,B-L,1
347,66087,13.5602546,42.29122368842846,391.2681,A-MH,4
348,66097,13.68029348148201,42.15507235305409,577.391,A-L,4
349,66043,13.605323757077496,42.23021017217794,456.6353,A-MH,5
350,66097,13.682346777144463,42.15309834543836,556.33453,A-L,2
351,66049,13.241572965527144,42.40220340115613,452.297,A-L,5
352,66027,13.742611077875557,42.116241054168746,442.9324,B-MH,1
353,67034,13.552917,42.52274198863004,466.36887,C1-MH,0
354,66097,13.681870158444088,42.14524894255919,510.07938,A-L,4
355,66049,13.399509099999998,42.34984789423984,455.06046,A-L,5
356,66097,13.68260378753548,42.14540293938136,508.66846,A-L,4
357,66087,13.560590015943244,42.28957302267177,408.62027,A-L,5
358,66087,13.558688561041816,42.28810323400148,460.66418,A-MH,4
359,66097,13.683491216451896,42.15405111109032,500.43295,A-MH,5
360,66087,13.5549199,42.2899673884274,480.28635,A-L,4
361,66008,13.261514999999994,42.43202198855133,497.88342,A-L,0
362,66043,13.612520121339404,42.23736627100866,409.64224,A-MH,1
363,66087,13.561828099999994,42.28674928842457,490.71396,A-MH,3
364,66042,13.583030000000008,42.2475279883902,446.18298,B-MH,0
365,66087,13.5607438,42.29365818843063,410.67407,A-L,1
366,66097,13.677249020601558,42.15464112320922,542.1198,A-L,2
367,66097,13.680441306545,42.15352975460959,535.91864,A-MH,3
368,66014,13.698591182445742,42.32619364797263,512.7188,A-MH,2
369,66087,13.55418551399345,42.289708611557415,463.11926,A-L,1
370,66049,13.400391239543,42.349432695036434,454.93576,A-L,5
371,66008,13.261523000000002,42.43203698855127,497.88342,A-L,0
372,66065,13.513177392625575,42.12325123650823,576.1033,A-L,5
373,66097,13.68294908154051,42.15307630098977,535.9723,A-L,5
374,66087,13.559428900000007,42.29155728842878,426.62686,B-MH,0
375,66065,13.515418363845162,42.12027953804289,593.66254,A-L,1
376,66097,13.686524722865508,42.15430170758111,562.4329,B-MH,5
377,67034,13.552903000000006,42.52262998862992,466.36887,A-MH,1
378,66087,13.558278518250791,42.2873040484082,402.68408,A-MH,1
379,66087,13.556538199999997,42.288382788426055,446.9307,A-MH,4
380,66097,13.685095615832363,42.154625326873536,569.067,B-L,0
381,66014,13.698448257659924,42.32583724843736,504.67365,A-L,0
382,66087,13.557316482605064,42.28534903956082,444.9031,A-L,4
383,66087,13.553407996965436,42.28883195073,426.52527,A-MH,1
384,66008,13.261224999999998,42.43357798855264,504.36795,B-MH,0
385,66087,13.553660089191505,42.28900387285035,439.54297,A-L,3
386,66065,13.520323388760444,42.13412284939691,445.85773,A-MH,3
387,66087,13.559487999999993,42.29080498842816,446.15762,C1-MH,1
388,66065,13.51949083064509,42.134332816401965,422.64874,A-MH,3
389,66087,13.5580817,42.28888358842646,467.61734,A-L,5
390,66065,13.515214134990648,42.12091960792291,597.33563,A-L,3
391,66058,13.70472750435661,42.24468657202659,475.241,A-L,4
392,66087,13.55603767121723,42.28828718448282,444.91202,A-MH,4
393,67034,13.554042324944316,42.52339177872926,471.20813,A-MH,0
394,66097,13.679910174464466,42.1507460623587,544.2889,A-L,5
395,66097,13.681279013064128,42.15141937556615,548.0641,A-MH,4
396,66087,13.560273100000002,42.29122868842847,391.2681,A-MH,4
397,66087,13.5584554,42.288674788426256,464.68967,A-MH,5
398,66087,13.556489999999998,42.28836618842604,446.9307,A-L,3
399,66014,13.698569061337166,42.32583281853277,504.67365,A-L,1
400,66043,13.605055640404162,42.22976769942344,491.92752,A-L,4
401,66087,13.5592154,42.29109038842837,432.73605,A-L,2
402,66087,13.553287300000004,42.290408688427775,464.25418,B-L,0
403,66008,13.261203429732172,42.43347731074926,504.36795,B-MH,0
404,66097,13.679855425269457,42.1478545157525,489.63794,A-L,1
405,66087,13.553292566525204,42.28892642630806,426.52527,A-MH,4
406,66014,13.698217709688524,42.32602652259438,513.7968,A-MH,0
407,66074,13.63925620785737,42.26379927346295,450.52023,A-MH,3
408,66043,13.605291499092427,42.22966884390743,511.65613,B-L,0
409,66065,13.515025579615235,42.12183038539703,609.5211,A-L,5
