id,col,row,Longitude,Latitude,vs30
9972,128,46,13.738379752414271,42.66225757837017,433.9224
9973,129,46,13.74446514364075,42.66232444638953,440.55374
9974,130,46,13.750550555566097,42.6623909912271,411.29932
9975,131,46,13.756635988090082,42.66245721287985,438.887
9976,132,46,13.76272144111252,42.6625231113447,429.91803
9977,133,46,13.768806914533204,42.66258868661871,437.1789
9978,134,46,13.774892408251922,42.662653938698746,457.4548
9979,135,46,13.780977922168478,42.662718867581866,451.57574
9980,136,46,13.787063456182652,42.66278347326517,442.77792
9981,137,46,13.793149010194226,42.66284775574563,443.73477
9982,138,46,13.799234584102992,42.66291171502032,438.09476
9983,139,46,13.805320177808726,42.66297535108619,437.1467
9984,140,46,13.811405791211214,42.66303866394048,442.64008
9985,141,46,13.817491424210226,42.66310165358016,451.08774
9986,142,46,13.823577076705552,42.66316432000241,429.7102
9987,143,46,13.829662748596968,42.66322666320437,442.39398
9988,144,46,13.835748439784222,42.66328868318314,405.00726
9989,145,46,13.8418341501671,42.66335037993584,435.32312
9990,146,46,13.84791987964537,42.66341175345969,421.68826
9991,147,46,13.854005628118808,42.66347280375184,388.3797
9992,148,46,13.86009139548715,42.66353353080952,402.6725
9993,149,46,13.866177181650182,42.66359393462994,376.33255
9994,150,46,13.872262986507666,42.66365401521031,387.1361
9995,151,46,13.878348809959345,42.66371377254789,416.65222
9996,152,46,13.884434651904987,42.66377320663995,395.13077
9997,153,46,13.890520512244352,42.663832317483696,393.17813
9998,154,46,13.896606390877166,42.66389110507648,387.7471
9999,155,46,13.902692287703204,42.66394956941556,395.69556
10000,156,46,13.908778202622209,42.66400771049828,411.78693
10001,157,46,13.914864135533932,42.66406552832196,390.0868
10002,158,46,13.920950086338102,42.66412302288396,403.58673
10003,159,46,13.927036054934485,42.66418019418163,354.90048
10004,160,46,13.933122041222791,42.66423704221233,363.86066
10005,161,46,13.9392080451028,42.66429356697346,374.34772
10006,162,46,13.94529406647422,42.66434976846253,340.99582
10007,163,46,13.951380105236789,42.66440564667673,355.32364
10008,164,46,13.95746616129026,42.66446120161369,368.545
10009,165,46,13.96355223453434,42.664516433270826,364.1441
10010,166,46,13.969638324868772,42.664571341645534,379.94635
10011,167,46,13.975724432193292,42.664625926735376,354.1406
10012,168,46,13.981810556407618,42.664680188537744,350.59326
10013,169,46,13.98789669741147,42.664734127050245,383.12253
10014,170,46,13.993982855104596,42.66478774227036,347.19324
10015,171,46,14.000069029386678,42.66484103419565,337.2063
10016,172,46,14.006155220157474,42.66489400282367,336.3644
10017,173,46,14.012241427316678,42.66494664815193,337.2705
10018,174,46,14.018327650764016,42.6649989701781,305.07025
10019,175,46,14.0244138903992,42.66505096889966,281.7177
10020,176,46,14.030500146121938,42.66510264431436,-1.0
10021,177,46,14.036586417831948,42.66515399641971,-1.0
10022,178,46,14.042672705428943,42.66520502521345,-1.0
10023,179,46,14.048759008812636,42.6652557306932,-1.0
10024,180,46,14.05484532788271,42.66530611285655,-1.0
10025,181,46,14.0609316625389,42.665356171701326,-1.0
10026,182,46,14.067018012680876,42.66540590722517,-1.0
10027,183,46,14.073104378208368,42.66545531942576,-1.0
10028,184,46,14.079190759021063,42.6655044083009,-1.0
10029,185,46,14.085277155018668,42.6655531738483,-1.0
10030,186,46,14.09136356610086,42.665601616065686,-1.0
10031,187,46,14.097449992167354,42.6656497349509,-1.0
10032,188,46,14.103536433117842,42.66569753050168,-1.0
10033,189,46,14.109622888852009,42.6657450027159,-1.0
