mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.013,0.012,3333.0,2383.0,1.0
0.014,0.014,4321.0,2352.0,1.0
0.011,0.011,3663.0,2430.0,1.0
0.014,0.02,5011.0,1756.0,1.0
0.015,0.021,4583.0,2260.0,1.0
0.015,0.019,4171.0,2101.0,1.0
0.013,0.017,4851.0,2375.0,1.0
0.013,0.018,5462.0,2309.0,1.0
0.013,0.01,3072.0,2142.0,1.0
0.013,0.017,4757.0,2370.0,1.0
0.014,0.017,4190.0,2250.0,1.0
0.011,0.013,4449.0,2524.0,1.0
0.014,0.017,4079.0,2129.0,1.0
0.013,0.022,5143.0,2127.0,1.0
0.013,0.017,5357.0,2266.0,1.0
0.012,0.011,3257.0,2315.0,1.0
0.012,0.011,2972.0,2379.0,1.0
0.014,0.019,5513.0,2458.0,1.0
0.013,0.012,3045.0,1914.0,1.0
0.013,0.014,4324.0,2410.0,1.0
0.013,0.017,4996.0,2497.0,1.0
0.013,0.018,5209.0,2500.0,1.0
0.014,0.018,5129.0,2148.0,1.0
0.015,0.02,4345.0,2046.0,1.0
0.014,0.027,5323.0,1805.0,1.01
0.014,0.019,4611.0,1677.0,1.0
0.013,0.02,5299.0,2121.0,1.0
0.014,0.021,5238.0,1941.0,1.0
0.014,0.017,4512.0,2357.0,1.0
0.011,0.01,2824.0,2141.0,1.0
0.016,0.015,3024.0,2088.0,1.0
0.015,0.019,4536.0,2219.0,1.0
0.014,0.019,4720.0,2095.0,1.0
0.011,0.009,2242.0,2248.0,1.0
0.014,0.022,5352.0,2294.0,1.0
0.014,0.021,4724.0,2000.0,1.0
0.014,0.021,5286.0,1922.0,1.0
0.013,0.013,3984.0,2422.0,1.0
0.014,0.02,4940.0,2181.0,1.0
0.014,0.021,5013.0,1928.0,1.0
0.015,0.021,4966.0,2379.0,1.0
0.014,0.012,2842.0,2206.0,1.0
0.014,0.015,4170.0,2298.0,1.0
0.014,0.02,5286.0,1999.0,1.0
0.014,0.018,4728.0,2205.0,1.0
0.01,0.008,2978.0,2517.0,1.0
0.014,0.021,5032.0,1972.0,1.0
0.012,0.01,3524.0,1928.0,1.0
0.013,0.02,5105.0,1886.0,1.0
0.011,0.009,2875.0,2012.0,1.0
0.013,0.018,4543.0,1962.0,1.0
0.014,0.014,3473.0,2230.0,1.0
0.01,0.009,3259.0,2249.0,1.0
0.013,0.02,5480.0,1946.0,1.0
0.013,0.016,5087.0,1907.0,1.0
0.015,0.024,4891.0,1935.0,1.0
0.014,0.019,5019.0,2321.0,1.0
0.013,0.012,3825.0,2694.0,1.0
0.015,0.02,4591.0,2249.0,1.0
0.014,0.02,5306.0,2306.0,1.0
0.013,0.013,3367.0,2526.0,1.0
0.014,0.02,5475.0,2272.0,1.0
0.014,0.02,4919.0,2144.0,1.0
0.014,0.02,5224.0,2365.0,1.0
0.014,0.02,4905.0,2200.0,1.0
0.013,0.019,5849.0,2165.0,1.0
0.013,0.02,5690.0,2013.0,1.0
0.014,0.019,5228.0,2378.0,1.0
0.013,0.017,4883.0,2345.0,1.0
0.011,0.009,2916.0,2390.0,1.0
0.014,0.018,4476.0,2212.0,1.0
0.015,0.017,3823.0,2404.0,1.0
0.014,0.013,3319.0,2245.0,1.0
0.014,0.019,4975.0,1925.0,1.0
0.011,0.008,3566.0,2216.0,1.0
0.013,0.019,5219.0,2020.0,1.01
0.013,0.021,5221.0,1830.0,1.0
0.012,0.02,6365.0,2079.0,1.0
0.015,0.02,4498.0,2029.0,1.0
0.012,0.009,2390.0,2197.0,1.0
0.013,0.017,4471.0,2026.0,1.0
0.014,0.019,4235.0,2048.0,1.0
0.013,0.02,5802.0,2216.0,1.0
0.014,0.019,5365.0,2498.0,1.01
0.013,0.02,5901.0,2281.0,1.0
0.015,0.016,3379.0,2520.0,1.0
0.012,0.015,4608.0,2354.0,1.0
0.014,0.019,4662.0,2279.0,1.0
0.014,0.019,4435.0,1836.0,1.0
0.012,0.013,3900.0,2300.0,1.0
0.014,0.02,5072.0,2198.0,1.0
0.015,0.022,4268.0,1880.0,1.0
0.014,0.017,4422.0,2347.0,1.0
0.013,0.012,4171.0,2143.0,1.0
0.014,0.019,4860.0,2223.0,1.0
0.012,0.009,3090.0,2247.0,1.0
0.012,0.012,3135.0,2052.0,1.0
0.014,0.021,5265.0,2121.0,1.0
0.014,0.017,4013.0,2125.0,1.0
0.013,0.011,3588.0,2378.0,1.0
0.014,0.019,4747.0,2153.0,1.0
0.014,0.018,4986.0,2281.0,1.0
0.014,0.019,4979.0,2253.0,1.0
0.013,0.015,4380.0,2496.0,1.0
0.015,0.019,4505.0,2285.0,1.0
0.012,0.009,5138.0,2065.0,1.0
0.012,0.018,5578.0,2081.0,1.0
0.013,0.021,5928.0,2000.0,1.0
0.013,0.014,3468.0,2217.0,1.0
0.013,0.021,5223.0,2046.0,1.0
0.015,0.018,4222.0,2358.0,1.0
0.014,0.013,3559.0,2391.0,1.0
0.013,0.011,4614.0,2412.0,1.0
0.013,0.021,6138.0,1977.0,1.0
0.012,0.009,2815.0,2307.0,1.0
0.012,0.016,5449.0,2109.0,1.0
0.014,0.02,5055.0,2133.0,1.0
0.012,0.02,6857.0,2356.0,1.0
0.014,0.019,4765.0,2228.0,1.0
0.014,0.02,4758.0,2165.0,1.0
0.013,0.018,5417.0,2103.0,1.0
0.013,0.014,3845.0,2500.0,1.0
0.013,0.014,3646.0,2197.0,1.0
0.014,0.023,5220.0,1668.0,1.0
0.012,0.012,3545.0,2333.0,1.0
0.013,0.02,5931.0,2210.0,1.0
0.014,0.015,4112.0,2607.0,1.0
0.013,0.021,5214.0,1960.0,1.0
0.013,0.017,4925.0,2401.0,1.0
0.012,0.013,3823.0,2165.0,1.0
0.014,0.019,5348.0,2411.0,1.0
0.015,0.02,4767.0,1774.0,1.0
0.014,0.021,5383.0,1939.0,1.0
0.013,0.019,5746.0,2414.0,1.0
0.014,0.021,4851.0,2106.0,1.0
0.013,0.013,3852.0,2376.0,1.0
0.014,0.019,4977.0,2077.0,1.0
0.014,0.019,4846.0,2164.0,1.0
0.014,0.021,5069.0,1970.0,1.0
0.014,0.014,3880.0,2368.0,1.0
0.013,0.016,5299.0,2569.0,1.0
0.014,0.017,4562.0,2184.0,1.0
0.014,0.02,5002.0,2385.0,1.0
0.013,0.017,5245.0,2316.0,1.0
0.011,0.011,3076.0,2097.0,1.0
0.014,0.022,5358.0,1778.0,1.0
0.013,0.018,5311.0,2304.0,1.0
0.013,0.013,3779.0,2222.0,1.0
0.013,0.02,5528.0,2210.0,1.0
0.014,0.021,4989.0,1803.0,1.0
0.014,0.02,4924.0,2179.0,1.0
0.013,0.017,5181.0,2456.0,1.0
0.014,0.018,5262.0,2684.0,1.0
0.013,0.021,6148.0,2356.0,1.0
0.014,0.019,5074.0,2360.0,1.0
0.014,0.017,4714.0,2230.0,1.0
0.014,0.016,4089.0,2333.0,1.0
0.015,0.021,4505.0,2081.0,1.0
0.013,0.012,4281.0,2283.0,1.0
0.015,0.019,4268.0,2253.0,1.0
0.014,0.015,3813.0,2214.0,1.0
0.013,0.022,5552.0,2091.0,1.0
0.013,0.021,5678.0,2172.0,1.0
0.013,0.018,5106.0,1873.0,1.0
0.012,0.012,3769.0,2173.0,1.0
0.014,0.019,4616.0,2260.0,1.0
0.014,0.017,4367.0,2263.0,1.0
0.014,0.013,3856.0,2170.0,1.0
0.012,0.015,4145.0,2070.0,1.0
0.013,0.012,3765.0,2212.0,1.0
0.014,0.02,5152.0,2271.0,1.0
0.013,0.02,5335.0,2217.0,1.0
0.016,0.02,4162.0,2076.0,1.0
0.014,0.019,4746.0,1992.0,1.0
0.013,0.012,2990.0,2142.0,1.0
0.013,0.019,5267.0,2194.0,1.0
0.015,0.021,4809.0,2034.0,1.0
0.013,0.015,4648.0,2130.0,1.0
0.014,0.018,4355.0,2122.0,1.0
0.013,0.019,5273.0,2141.0,1.0
0.013,0.018,5326.0,2307.0,1.0
0.014,0.018,4747.0,2392.0,1.0
0.014,0.018,4669.0,2492.0,1.0
0.011,0.011,3144.0,2139.0,1.0
0.013,0.018,5192.0,2213.0,1.0
0.013,0.018,5698.0,2153.0,1.0
0.014,0.019,4814.0,2185.0,1.0
0.014,0.021,4870.0,2123.0,1.0
0.014,0.016,4369.0,1895.0,1.0
0.015,0.019,4344.0,2283.0,1.0
0.012,0.019,6199.0,2200.0,1.0
0.014,0.02,4931.0,2311.0,1.0
0.013,0.013,4061.0,2379.0,1.0
0.014,0.019,4576.0,2212.0,1.0
0.013,0.018,4791.0,2067.0,1.0
0.014,0.015,3805.0,1897.0,1.0
0.013,0.017,5135.0,2354.0,1.0
0.013,0.018,5309.0,2217.0,1.0
0.012,0.015,4231.0,2333.0,1.0
0.013,0.013,3667.0,2403.0,1.0
0.013,0.018,5127.0,2341.0,1.0
0.013,0.02,5816.0,2104.0,1.0
0.013,0.019,5361.0,2250.0,1.0
0.013,0.023,5579.0,1854.0,1.0
0.014,0.02,4814.0,1929.0,1.0
0.012,0.011,4210.0,2401.0,1.0
0.013,0.02,5714.0,2257.0,1.0
0.012,0.021,6239.0,2104.0,1.0
0.014,0.018,4572.0,2162.0,1.0
