mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.011,0.02,8223.0,2116.0,1.0
0.005,0.007,4855.0,2483.0,1.0
0.01,0.021,8991.0,1835.0,1.0
0.011,0.025,8943.0,1892.0,1.0
0.011,0.015,6406.0,2350.0,1.0
0.01,0.013,7188.0,2615.0,1.0
0.011,0.023,7902.0,1939.0,1.0
0.009,0.008,5340.0,2318.0,1.0
0.011,0.018,6427.0,2124.0,1.0
0.011,0.018,7776.0,2376.0,1.0
0.009,0.011,5789.0,2148.0,1.0
0.01,0.02,9068.0,1969.0,1.0
0.012,0.021,6802.0,2189.0,1.0
0.011,0.017,6637.0,2481.0,1.0
0.007,0.006,4574.0,2244.0,1.0
0.006,0.009,5518.0,2321.0,1.0
0.011,0.021,8024.0,2215.0,1.0
0.009,0.008,5773.0,2594.0,1.0
0.009,0.02,9195.0,1993.0,1.0
0.012,0.024,7571.0,1997.0,1.0
0.01,0.02,9105.0,2070.0,1.01
0.011,0.02,7623.0,2087.0,1.0
0.011,0.023,7609.0,1981.0,1.0
0.011,0.021,8191.0,2018.0,1.0
0.012,0.023,7523.0,2016.0,1.0
0.011,0.019,7439.0,2279.0,1.0
0.011,0.023,8761.0,1918.0,1.0
0.011,0.019,7015.0,2330.0,1.0
0.005,0.006,5130.0,2267.0,1.0
0.011,0.018,7051.0,2095.0,1.0
0.011,0.022,8930.0,2054.0,1.0
0.011,0.022,8240.0,1970.0,1.0
0.005,0.004,4031.0,2393.0,1.0
0.011,0.023,8499.0,2001.0,1.0
0.011,0.022,8569.0,1978.0,1.0
0.011,0.023,9680.0,2282.0,1.0
0.01,0.012,6151.0,2175.0,1.0
0.01,0.02,8786.0,2203.0,1.0
0.012,0.02,7021.0,2074.0,1.0
0.012,0.023,7213.0,1967.0,1.0
0.009,0.009,4200.0,2513.0,1.0
0.012,0.02,6732.0,2211.0,1.0
0.012,0.022,6751.0,1940.0,1.0
0.011,0.02,7836.0,2093.0,1.0
0.004,0.003,3994.0,2289.0,1.0
0.012,0.027,7575.0,1543.0,1.0
0.008,0.006,4486.0,2411.0,1.0
0.012,0.024,6998.0,1953.0,1.01
0.004,0.005,4774.0,2183.0,1.0
0.012,0.019,5781.0,1891.0,1.0
0.011,0.014,6399.0,2579.0,1.0
0.005,0.006,4283.0,2237.0,1.0
0.011,0.022,8991.0,2281.0,1.0
0.011,0.017,6469.0,2246.0,1.0
0.013,0.027,6446.0,1704.0,1.0
0.011,0.021,7704.0,1775.0,1.0
0.01,0.012,7115.0,2266.0,1.0
0.011,0.022,7609.0,2094.0,1.0
0.012,0.02,6817.0,2342.0,1.0
0.01,0.014,4956.0,2316.0,1.0
0.012,0.021,6752.0,2169.0,1.0
0.011,0.019,7173.0,2229.0,1.0
0.011,0.021,8138.0,2164.0,1.0
0.012,0.022,6696.0,2027.0,1.0
0.011,0.022,8713.0,2009.0,1.01
0.012,0.022,7158.0,1959.0,1.0
0.011,0.022,7576.0,1911.0,1.0
0.011,0.021,8614.0,2311.0,1.0
0.005,0.004,4562.0,2218.0,1.0
0.012,0.02,7073.0,2154.0,1.0
0.011,0.019,6498.0,2098.0,1.0
0.009,0.013,5934.0,2180.0,1.0
0.012,0.024,7142.0,1908.0,1.0
