mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.006,0.006,2995.0,2361.0,1.0
0.012,0.014,5387.0,2275.0,1.0
0.012,0.023,6830.0,1841.0,1.0
0.013,0.015,4659.0,2336.0,1.0
0.014,0.015,3960.0,2316.0,1.0
0.013,0.023,5354.0,1404.0,1.0
0.013,0.021,5599.0,1641.0,1.0
0.013,0.02,5646.0,2305.0,1.0
0.005,0.003,2493.0,2278.0,1.0
0.005,0.004,2802.0,2078.0,1.0
0.007,0.006,4292.0,2604.0,1.0
0.006,0.005,3406.0,2282.0,1.0
0.013,0.023,6398.0,1765.0,1.0
0.013,0.022,6122.0,2063.0,1.0
0.014,0.017,4127.0,2191.0,1.0
0.011,0.018,6083.0,2010.0,1.0
0.013,0.021,5742.0,2093.0,1.0
0.014,0.02,4427.0,2029.0,1.0
0.005,0.004,3299.0,2257.0,1.0
0.014,0.02,4981.0,1959.0,1.0
0.013,0.021,6502.0,1916.0,1.0
0.012,0.02,5975.0,2068.0,1.0
0.013,0.016,5277.0,1873.0,1.0
0.006,0.005,2690.0,2331.0,1.0
0.012,0.015,5205.0,2379.0,1.0
0.005,0.005,3552.0,2122.0,1.0
0.013,0.015,4621.0,2318.0,1.0
0.013,0.018,5287.0,2087.0,1.0
0.012,0.015,5519.0,2222.0,1.0
0.012,0.02,6304.0,1896.0,1.0
0.015,0.021,4387.0,1923.0,1.0
0.013,0.02,5859.0,2076.0,1.0
0.013,0.023,6159.0,1852.0,1.0
0.014,0.015,4102.0,2256.0,1.0
0.014,0.021,5428.0,2041.0,1.0
0.012,0.013,3531.0,1984.0,1.0
0.012,0.023,7571.0,2091.0,1.0
0.013,0.02,5639.0,2189.0,1.0
0.013,0.02,5328.0,2103.0,1.0
0.006,0.005,3059.0,2253.0,1.0
0.014,0.02,5111.0,2330.0,1.0
0.013,0.02,5645.0,2120.0,1.0
0.013,0.02,5277.0,2312.0,1.0
0.01,0.014,4026.0,1998.0,1.0
0.014,0.021,5403.0,2236.0,1.0
0.013,0.019,5769.0,2349.0,1.0
0.006,0.004,2586.0,2103.0,1.0
0.012,0.021,6947.0,2251.0,1.01
0.013,0.02,5529.0,1984.0,1.0
0.004,0.005,3554.0,2094.0,1.0
0.014,0.025,5862.0,1836.0,1.0
0.013,0.021,5906.0,1941.0,1.0
0.009,0.01,3494.0,2118.0,1.0
0.012,0.013,5313.0,2226.0,1.0
0.014,0.021,5304.0,1776.0,1.0
0.013,0.022,6207.0,1828.0,1.0
0.014,0.021,5567.0,2008.0,1.0
0.007,0.007,3828.0,1929.0,1.0
0.014,0.022,5399.0,2031.0,1.0
0.011,0.01,3110.0,2153.0,1.0
0.012,0.014,4693.0,2385.0,1.0
0.009,0.007,4226.0,2524.0,1.0
0.013,0.012,5178.0,2147.0,1.0
0.011,0.016,6162.0,2369.0,1.0
0.015,0.021,4209.0,1966.0,1.0
0.012,0.019,5826.0,2138.0,1.0
0.012,0.016,5027.0,2480.0,1.0
0.013,0.019,5814.0,2319.0,1.0
0.014,0.019,4669.0,2269.0,1.0
0.009,0.008,3975.0,2061.0,1.0
0.013,0.02,5666.0,2176.0,1.0
0.011,0.013,5278.0,2136.0,1.0
0.012,0.009,4079.0,1828.0,1.0
0.014,0.018,4563.0,2109.0,1.0
0.013,0.02,5449.0,1988.0,1.01
0.014,0.018,5016.0,2394.0,1.0
0.012,0.013,5836.0,2420.0,1.0
0.004,0.004,3351.0,2223.0,1.0
0.012,0.021,5936.0,2099.0,1.0
0.013,0.022,5920.0,1982.0,1.0
0.012,0.01,4105.0,2272.0,1.0
0.013,0.02,5501.0,2226.0,1.0
0.013,0.016,4838.0,2221.0,1.0
0.013,0.021,5940.0,2233.0,1.0
0.012,0.02,6871.0,1994.0,1.0
0.013,0.022,5863.0,2335.0,1.0
0.014,0.015,3846.0,1843.0,1.0
0.014,0.019,5060.0,2254.0,1.0
0.01,0.009,3789.0,2247.0,1.0
0.013,0.021,6006.0,1887.0,1.0
0.006,0.006,3431.0,2581.0,1.0
0.013,0.019,5278.0,1774.0,1.0
0.013,0.024,5973.0,1738.0,1.0
0.013,0.016,4872.0,1974.0,1.0
0.012,0.013,5704.0,2464.0,1.0
0.013,0.02,5878.0,1912.0,1.0
0.012,0.009,2905.0,2049.0,1.0
0.012,0.018,6024.0,2349.0,1.0
0.013,0.019,5294.0,2047.0,1.0
0.01,0.011,4978.0,2464.0,1.0
0.012,0.019,6176.0,2269.0,1.0
0.013,0.023,5482.0,2076.0,1.0
0.012,0.017,5697.0,2371.0,1.0
0.008,0.007,3174.0,2223.0,1.0
0.007,0.009,3979.0,2218.0,1.0
0.012,0.021,6792.0,2124.0,1.0
0.01,0.009,4370.0,1930.0,1.0
0.012,0.021,4877.0,1635.0,1.0
0.013,0.024,5630.0,1848.0,1.0
0.013,0.02,5745.0,2341.0,1.0
0.013,0.017,5376.0,2486.0,1.0
0.012,0.021,6669.0,2053.0,1.0
0.014,0.022,5191.0,2138.0,1.0
0.012,0.023,6463.0,1879.0,1.0
0.014,0.02,5169.0,2187.0,1.0
0.014,0.021,5190.0,2102.0,1.0
0.014,0.017,4377.0,2226.0,1.0
0.007,0.006,3014.0,2148.0,1.0
0.013,0.018,4906.0,2152.0,1.0
0.015,0.02,4260.0,2136.0,1.0
0.013,0.021,6222.0,2016.0,1.0
0.005,0.004,3039.0,2600.0,1.0
0.012,0.02,7634.0,2381.0,1.0
0.012,0.022,6685.0,2214.0,1.0
0.014,0.021,5911.0,2497.0,1.0
0.012,0.013,4169.0,2378.0,1.0
0.013,0.021,5732.0,2200.0,1.01
0.013,0.019,5357.0,2276.0,1.0
0.013,0.022,5972.0,2001.0,1.0
0.011,0.009,3099.0,2070.0,1.0
0.014,0.017,5173.0,2301.0,1.0
0.013,0.02,6068.0,2109.0,1.0
0.014,0.022,4716.0,2227.0,1.0
0.005,0.004,3382.0,2035.0,1.0
0.014,0.024,5243.0,2038.0,1.0
0.009,0.007,3423.0,2114.0,1.0
0.013,0.024,6122.0,1949.0,1.0
0.005,0.004,3480.0,2387.0,1.0
0.013,0.019,5212.0,2305.0,1.0
0.013,0.016,4337.0,2132.0,1.0
0.006,0.005,3059.0,2403.0,1.0
0.013,0.023,5840.0,2063.0,1.0
0.013,0.016,5246.0,2260.0,1.0
0.014,0.023,5381.0,1840.0,1.01
0.013,0.021,5845.0,2197.0,1.0
0.013,0.013,4347.0,2417.0,1.0
0.015,0.018,4263.0,2094.0,1.0
0.013,0.021,6046.0,2053.0,1.0
0.012,0.013,3563.0,2414.0,1.0
0.014,0.02,5214.0,2472.0,1.0
0.013,0.019,6016.0,2109.0,1.0
0.014,0.02,5264.0,2229.0,1.0
0.013,0.02,5897.0,2228.0,1.0
0.013,0.021,5939.0,1937.0,1.0
0.013,0.022,6524.0,2107.0,1.0
0.014,0.022,5541.0,2017.0,1.0
0.014,0.02,5022.0,2286.0,1.0
0.005,0.004,3762.0,2375.0,1.0
0.013,0.017,5521.0,2401.0,1.0
0.012,0.018,5433.0,2186.0,1.0
0.011,0.013,4231.0,1923.0,1.0
0.014,0.02,4784.0,1970.0,1.0
0.007,0.006,4235.0,2145.0,1.0
0.011,0.018,7224.0,2704.0,1.0
0.014,0.021,5285.0,1826.0,1.0
0.013,0.023,6055.0,2050.0,1.0
0.013,0.019,6056.0,2258.0,1.0
0.005,0.004,3146.0,2128.0,1.0
0.013,0.02,5924.0,2194.0,1.0
0.014,0.021,5703.0,2108.0,1.0
0.013,0.019,5624.0,2367.0,1.0
0.014,0.02,5169.0,2410.0,1.0
0.013,0.024,6382.0,1947.0,1.0
0.015,0.016,4128.0,2617.0,1.0
0.011,0.015,5748.0,2287.0,1.0
0.014,0.021,5051.0,2070.0,1.0
0.014,0.021,4892.0,2055.0,1.0
0.011,0.012,4265.0,2217.0,1.0
0.014,0.021,5324.0,2036.0,1.0
0.013,0.022,5544.0,2063.0,1.0
0.012,0.018,6438.0,2348.0,1.0
0.013,0.011,4344.0,2272.0,1.0
0.013,0.022,6125.0,2017.0,1.0
0.012,0.008,2991.0,2235.0,1.0
0.01,0.01,3461.0,2024.0,1.0
0.014,0.023,6140.0,2178.0,1.0
0.013,0.017,4811.0,2414.0,1.0
0.011,0.009,3924.0,2156.0,1.0
0.015,0.02,4563.0,2231.0,1.0
0.013,0.017,4704.0,2078.0,1.0
0.014,0.022,4782.0,1923.0,1.0
0.013,0.016,5209.0,2551.0,1.0
0.014,0.019,5198.0,2027.0,1.0
0.01,0.008,4851.0,2545.0,1.0
0.013,0.016,4964.0,2199.0,1.0
0.014,0.022,4843.0,2011.0,1.0
0.011,0.008,3241.0,2405.0,1.0
0.013,0.02,5580.0,1903.0,1.0
0.014,0.019,4508.0,2218.0,1.0
0.013,0.015,4067.0,1893.0,1.0
0.012,0.012,5950.0,2012.0,1.0
0.013,0.021,5614.0,2168.0,1.0
0.007,0.006,3455.0,2119.0,1.0
0.01,0.013,6302.0,2313.0,1.0
0.013,0.021,5670.0,1912.0,1.0
0.013,0.021,5819.0,1985.0,1.0
0.014,0.021,5145.0,2113.0,1.0
0.014,0.019,5228.0,2031.0,1.0
