network_code,station_code,Longitude,Latitude,vs30,epiazimuth,mu_logIM,tau_logIM,phi_logIM,obs_logIM
IT,CNM,15.104517,41.618225,434.0,338.9614874231087,-4.548254107697808,0.5019635502727019,0.6677496769682731,-5.6173969282406215
IT,CSO1,13.088044,42.100933,454.3538513183594,88.92447658470667,-2.303328143102437,0.5019635502727019,0.6677496769682731,-3.246781041096832
IT,CSS,13.82309,41.48579,648.0,20.696079239164305,-3.654419336875908,0.5019635502727019,0.6677496769682731,-3.88203731236157
IT,CTL,12.735809,43.955116,208.0,202.84251028813281,-4.820794964821253,0.5019635502727019,0.6677496769682731,-4.777988953109602
IT,FMG,13.11722,42.268028,790.0,116.55996357686183,-1.6883301284889978,0.5019635502727019,0.6677496769682731,-2.991871148820325
IT,FOR,12.041916,44.199409,296.0,192.02564171518287,-5.324944078905151,0.5019635502727019,0.6677496769682731,-6.001341305672296
IT,GNL,16.033119,40.843315,760.0,346.34378685984706,-5.760569328171162,0.5019635502727019,0.6677496769682731,-5.7242364868998425
IT,GSA,13.519362,42.420689,492.0,253.30490571926566,-0.9230095884468752,0.5019635502727019,0.6677496769682731,-0.7181960656737673
IT,ISR,14.2359,41.6106,563.25,359.7385114264686,-3.7570101091936334,0.5019635502727019,0.6677496769682731,-4.116109920061114
IT,LSS,12.968894,42.558243,1091.0,164.45070338113732,-2.8485668086112135,0.5019635502727019,0.6677496769682731,-3.88177933599117
IT,MMP,12.748537,42.248547,739.63,121.68359544407741,-2.7859882850903976,0.5019635502727019,0.6677496769682731,-3.921194774519616
IT,MNG,15.95803,41.70354,760.0,327.3813378631544,-5.244407390863818,0.5019635502727019,0.6677496769682731,-5.0889155669924255
IT,MNN,15.91132,41.634186,815.0,329.62388114357924,-5.6965819514103675,0.5019635502727019,0.6677496769682731,-5.151885869222592
IT,MTR,13.244796,42.524021,689.0,185.2016053123387,-1.5596114382565929,0.5019635502727019,0.6677496769682731,-2.123222792412684
IT,NAP,14.179607,40.799255,378.0,19.559210051476725,-4.811759085927053,0.5019635502727019,0.6677496769682731,-5.602611974789234
IT,ORC,13.642346,41.953606,767.0,17.124497079268735,-2.331368299400788,0.5019635502727019,0.6677496769682731,-1.909895657433372
