x,y,rec_logPGA,mean_logPGA_1,q05_logPGA_1,q95_logPGA_1,mean_logPGA_2,q05_logPGA_2,q95_logPGA_2
-16.072144288577153,0,-2.3352715481473987,-2.619766295091292,-3.291024266862415,-1.9485083233201692,-2.3681054664685437,-2.8401447772952912,-1.9136376968506017
-15.991983967935871,0,-2.412405435475381,-2.623220318662901,-3.2715717822400725,-1.9748688550857292,-2.421421546964857,-2.8965603971425176,-1.964126751826432
-15.91182364729459,0,-2.524288012242633,-2.626857565660477,-3.2505349413082163,-2.0031801900127375,-2.4669171928492895,-2.9453001774948455,-1.9961137780805422
-15.831663326653306,0,-2.2988456729420066,-2.6306823049774994,-3.22765951440564,-2.033705095549359,-2.5038607818912313,-2.971273970278247,-2.0348019842803176
-15.751503006012024,0,-2.319531424075215,-2.634698899299054,-3.2026210639243473,-2.066776734673761,-2.5399564095635427,-2.9826080448359598,-2.082442661882345
-15.671342685370742,0,-2.300198718732317,-2.638911807141342,-3.1749937107552633,-2.1028299035274207,-2.5665673434129253,-2.9960137422172997,-2.1350597071038013
-15.59118236472946,0,-2.4651115440132343,-2.643325584935516,-3.144198083635916,-2.142453086235116,-2.591405547734544,-3.0072495079391683,-2.178759724223724
-15.511022044088175,0,-2.575400837176385,-2.6479448891567685,-3.109408334140969,-2.186481444172568,-2.6136364498885643,-2.998713954568355,-2.2311364949661763
-15.430861723446894,0,-2.5808050795053514,-2.652774478499694,-3.069369962387947,-2.236178994611441,-2.6347837447322946,-2.9827885224927844,-2.277936808561765
-15.350701402805612,0,-2.6348981520438057,-2.6578192161009193,-3.021993519722144,-2.2936449124796945,-2.6480063849731486,-2.962901016266948,-2.3369139483758263
-15.270541082164328,0,-2.4884231347991794,-2.663084071810021,-2.9632492918258686,-2.3629188517941735,-2.660622651212976,-2.942577216716739,-2.389093610587717
-15.190380761523048,0,-2.4935676354383016,-2.6685741245098025,-2.882852286027418,-2.454295962992187,-2.6697572986264153,-2.8874910213215927,-2.457899476090604
-15.110220440881765,0,-2.6742959429056845,-2.6742945644869867,-2.6759394164807397,-2.6726497124932336,-2.6742925570630733,-2.6798251714698824,-2.6685917201652627
-15.03006012024048,0,-2.6082421000319904,-2.6564051884525437,-2.8706818711290936,-2.442128505775994,-2.6554184345402336,-2.8522360945134193,-2.462601015726578
-14.949899799599198,0,-2.447943498000545,-2.638746124129758,-2.938907164784928,-2.338585083474588,-2.63273388099148,-2.91316294255111,-2.3578180226882552
-14.869739478957916,0,-2.6420904141268684,-2.621312105778097,-2.9854787366033406,-2.2571454749528534,-2.6096095095175778,-2.9347932823821155,-2.2882661817502776
-14.789579158316634,0,-2.914177379407307,-2.6040979792849157,-3.020681656626226,-2.1875143019436054,-2.5786119943414416,-2.946958559003049,-2.2176517155234152
-14.70941883767535,0,-2.8662072235246296,-2.5870986999070023,-3.048545651821377,-2.1256517479926273,-2.5442982850350697,-2.927724140559288,-2.162899198733587
-14.629258517034067,0,-2.915632627763615,-2.5703093300628552,-3.071160154774916,-2.0694585053507946,-2.507774507181828,-2.9186493336251274,-2.1138758525522365
-14.549098196392784,0,-2.742414741228163,-2.5537250371747136,-3.0897796336509566,-2.0176704406984705,-2.466737544254965,-2.8955788314757567,-2.0699446227107896
-14.468937875751504,0,-2.6301050039519303,-2.5373410915594063,-3.105229895659294,-1.9694522874595188,-2.419384691908635,-2.8520281072208076,-1.9917586488371577
-14.38877755511022,0,-2.678093688037689,-2.521152864367066,-3.1180902647235356,-1.9242154640105968,-2.3687762468537747,-2.82023341475868,-1.9149697339609315
-14.308617234468938,0,-2.738931073398146,-2.505155825566844,-3.1287865685450087,-1.8815250825886793,-2.3118598886683177,-2.778333507948334,-1.8588150092841125
-14.228456913827657,0,-2.690145789586249,-2.4893455419787127,-3.1376431906086717,-1.8410478933487537,-2.2464322492739788,-2.696017281893106,-1.8031039157277111
-14.148296593186371,0,-2.4352296258769845,-2.473717675350495,-3.144914304687075,-1.8025210460139145,-2.178247530284143,-2.6458210708947996,-1.720636757463793
-14.06813627254509,0,-2.172457184395684,-2.458267980479322,-3.1508036652945384,-1.7657322956641055,-2.144167657914588,-2.6019442696794535,-1.6927284098510702
-13.987975951903808,0,-1.9385403686223504,-2.4429923033766365,-3.1554777088699266,-1.7305068978833464,-2.1033936986413146,-2.543668778771932,-1.6443059383699397
-13.907815631262526,0,-2.177469782052074,-2.427886579476005,-3.1590745456377487,-1.6966986133142612,-2.043785566137228,-2.4906538884346308,-1.6046420997484117
-13.827655310621244,0,-2.219765136991137,-2.412946831882921,-3.161710320952828,-1.664183342813014,-2.024881502465987,-2.4691113510632485,-1.5713516489430306
-13.74749498997996,0,-2.3459361743556326,-2.3981691696658647,-3.163483833323546,-1.6328545060081834,-2.038659264501543,-2.4994329539247255,-1.5893532099252736
-13.667334669338675,0,-2.488468603798033,-2.3835497861878614,-3.1644799623119577,-1.602619610063765,-2.0846483521169157,-2.531610837960018,-1.6296085391932922
-13.587174348697395,0,-2.3014638291026768,-2.369084957477842,-3.1647722628530617,-1.573397652102622,-2.1179837616609767,-2.5819418416524997,-1.681355160626957
-13.507014028056112,0,-2.1725720897825127,-2.3547710406410767,-3.164424962480849,-1.545117118801304,-2.1443671145706142,-2.622798234283015,-1.6964689990861197
-13.42685370741483,0,-2.294099396162891,-2.340604472308022,-3.1634945223151387,-1.5177144223009054,-2.1598400152942685,-2.6419343968772306,-1.693598278108493
-13.346693386773548,0,-2.4085843593851366,-2.3265817671209152,-3.162030873679033,-1.4911326605627977,-2.1636002611394254,-2.6507321186386146,-1.6804473892434446
-13.266533066132263,0,-2.345411122952117,-2.3126995162574433,-3.1600784097057795,-1.4653206228091071,-2.1554023341966513,-2.6471090160279767,-1.684335576385923
-13.18637274549098,0,-2.213779479222344,-2.2989543859909016,-3.1576767892395345,-1.4402319827422687,-2.1445902839115285,-2.6285288862454266,-1.635354737085389
-13.1062124248497,0,-2.0592995527852285,-2.2853431162861804,-3.1548615950770427,-1.415824637495318,-2.118579760927905,-2.621040764703191,-1.6342464410111233
-13.026052104208418,0,-1.9971175404838089,-2.271862519431026,-3.1516648778533347,-1.3920601610087169,-2.0835899839870318,-2.5872030308871787,-1.6083457478027525
-12.945891783567134,0,-2.0091865151606974,-2.2585094787019657,-3.1481156091860205,-1.3689033482179107,-2.0370974634248626,-2.5085966070817887,-1.5783689556354465
-12.86573146292585,0,-1.5447891989270042,-2.2452809470643627,-3.1442400621095605,-1.3463218320191648,-2.022949011364433,-2.486713635197017,-1.5619461032301445
-12.785571142284567,0,-1.732806348367906,-2.2321739459060193,-3.140062132721436,-1.3242857590906025,-1.9973798239309641,-2.468217665314475,-1.528976293089506
